Cup 1, -1.9780099, 7.060648, 301.84866
Cup 2, 31.853962, 6.165002, 238.4563
Cup 3, 91.6848, 6.165122, 218.32155
Cup 4, 106.25325, 8.095638, 280.02716
Cup 5, 146.2452, 8.929838, 195.26318
Cup 6, 179.00908, 8.095792, 254.0839
Cup 7, 252.79752, 11.533847, 375.84024
Cup 8, 94.05993, 8.534911, 450.4072
Cup 9, 25.007273, 8.09501, 414.66345
Cup 10, -162.33, 3.6708698, 380.4666
Cup 11, 1.4777602, 11.5311, 9.453729
Cup 12, 34.744427, 11.463548, -111.16202
Cup 13, 65.68589, 11.533337, -161.16443
Cup 14, 78.44601, 11.532138, -82.13282
Cup 15, 70.87234, 11.531864, 1.4386009
Cup 16, 130.34552, 11.532995, 15.008272
Cup 17, 86.38547, 6.9506984, 140.74773
Cup 18, 68.95964, 2.318469, 179.99731
Cup 19, 49.316517, 2.3735769, 181.56725
Cup 20, 34.04447, 2.3736951, 195.90007
Cup 21, 5.665116, 2.3733284, 204.49771
Cup 22, -17.801546, 2.3742676, 228.28387
Cup 23, -51.759193, 2.373359, 233.03963
Cup 24, -71.62239, 4.4840713, 255.24947
Cup 25, -104.565765, 12.89963, 292.50378
Cup 26, -97.4919, 12.899358, 290.3326
Cup 27, -101.188286, 12.899438, 287.3883
Cup 28, -101.045815, 12.899541, 287.4677
Cup 29, -98.380554, 12.899638, 292.09183
Cup 30, -101.28638, 12.899535, 298.2737
Cup 31, -104.5708, 12.899527, 302.1628
Cup 32, -104.636536, 12.899532, 306.05997
Cup 33, -104.28013, 12.89938, 311.2893
Cup 34, -106.17915, 12.899241, 314.6052
Cup 35, -44.87628, 11.534013, -71.331764
Cup 36, -46.981087, 7.074193, 177.23534
Cup 37, -90.426094, 7.122896, 252.81346
Cup 38, -59.10753, 6.881448, 271.1729
